name,place_type,address,rating,rating_count,latitude,longitude,region
WARKOP 2 SAUDARA,Kafe,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta","4,5",2,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
"Warkop Selamat Sejahtera, Kebon Kacang",Kedai Kopi,"Jl. Kebon Kacang 30 No.15, RT.5/RW.4","4,5",2,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Been Aouf,Kafe,"Jl. Kb. Kacang XL No.24, RT.10/RW.4","4,5",68,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop otoy,Kedai Kopi,Jl. Kebon Kacang 30 No.7,"5,0",3,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Barokah masjid jami'e darusalam,Kedai Kopi,"Masjid Darussalam, Jl. Kotabumi Ujung No.Depan 8, RT.8/RW.3","4,5",2,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Sehati,Kedai Kopi,"Jl. Kb. Kacang 6 No.70 14, RT.14/RW.5","5,0",1,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Tiku,Kedai Kopi,Thamrin City Lantai 3 No 28 Food court Jln Teluk Betung Boulevard,"4,7",56,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop kuningan,Kedai Kopi,"Jl. Kebon Sayur No.20, RT.14/RW.3","5,0",1,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
WARKOP MOTEKAR,Kedai Kopi,"Jl. Talang Betutu Ujung No.10 15, RT.13/RW.4","4,7",3,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Khabita 78,Kedai Kopi,"No., Jl. Tj. Duren Raya No.1, RT.3/RW.1","4,7",22,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Mamah GALANG & BAIM,Kedai Kopi,"Jl. Dukuh Pinggir V No.19 10, RT.10/RW.6","4,3",3,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Bang DuDung,Kafe,"RR6C+RM3, Jl. Kb. Kacang XI","4,5",8,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
WARKOP BABEH,Kedai Kopi,Jl. Sungai Gerong No.1-1A,"5,0",1,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Sugab,Kafe,"Jl. Kp. Bali X No.26 7, RT.8/RW.9","4,8",19,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop Kabengbat,Kafe,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta","4,0",2,-6.1982042,106.8204218,{'name': 'Kota Jakarta Pusat'}
Warkop AP KT NT AJ,Kedai Kopi,"samping Gedung Jamiat Kheir, Jl. Kb. Kacang 6","5,0",2,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop pancong Lontar ( Kebon Melati ),Kafe,"Jl. Lontar Raya No.107b 1, RT.1/RW.12","4,6",10,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Segitiga,Kafe,"Jl. K.H. Wahid Hasyim No.54A 7, RT.7/RW.5","3,3",8,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Slamet. Bw,Kafe,"QRX8+R2M, RT.1/RW.17","4,1",7,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop JAJA,Kafe,"Jl. Sabeni Raya No.20, RT.20/RW.12","4,5",2,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Romi gaharu,Kafe,"Jl. Kembang IV No.111 1, RT.1/RW.2","5,0",25,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop UPA,Kedai Kopi,"Jalan Jati Baru 10 RT. 01/RW.04 RT.1, RT.1/RW.4","5,0",14,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Akang,Kafe,"Jl. Kb. Pala II No.10 5, RT.5/RW.13","3,5",4,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Babang,Kafe,"Jl. Kp. Bali XIII No.1, RT.2/RW.9","4,9",7,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
Warkop Aba Tanah Abang,Kedai Kopi,"Jl. K.H. Mas Mansyur Jl. Kb. Pala I No.286, RT.2/RW.16","5,0",13,-6.1869183,106.8251952,{'name': 'Kota Jakarta Pusat'}
