city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"Central Jakarta city, Indonesia",Warkop Romi gaharu,"Jl. Kembang IV No.111 1, RT.1/RW.2",5.0,25.0,1,1,0,1,1,1,1
"Central Jakarta city, Indonesia",WARKOP KUNTAS,"Jl. Kebon Sirih Timur No.dalam no.5d, RT.14/RW.6",5.0,1.0,1,1,1,0,1,1,1
"Central Jakarta city, Indonesia",Warkop Segitiga,"Jl. K.H. Wahid Hasyim No.54A 7, RT.7/RW.5",3.3,8.0,1,0,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Ilham,"Jl. Menteng No.5, RT.5/RW.7",4.6,12.0,1,1,1,1,1,1,0
"Central Jakarta city, Indonesia",Warkop Pejambon,"# Gambir, Jl. Pejambon I Blok G No.2, RT.1/RW.1",4.5,28.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Ihsan Sabang,"Jl. H. Agus Salim No.35, RT.1/RW.1",5.0,2.0,1,0,0,1,1,0,1S
"Central Jakarta city, Indonesia",Warkop Indomie,"Jl. Kebon Jahe Kober 5 No.20 8, RT.8/RW.8",4.4,37.0,0,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Sehati,"Jl. Kb. Kacang 6 No.70 14, RT.14/RW.5",5.0,1.0,1,1,1,1,1,1,0
"Central Jakarta city, Indonesia",Warkop Khabita 78,"No., Jl. Tj. Duren Raya No.1, RT.3/RW.1",4.7,22.0,1,1,1,1,1,0,1
"Central Jakarta city, Indonesia",warkop terhana putra,"rt4, Jl. Kebon Sirih Barat I Gg. 10, RT.8/RW.4",,,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Kembang,"RR8Q+P7V, Jalan Kramat Kwitang 2, RT.3/RW.1",4.1,10.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",WARKOP MOTEKAR,"Jl. Kramat IV, RT.2/RW.8",4.1,21.0,1,1,1,1,0,1,0
"Central Jakarta city, Indonesia",Warkop AMMAR 1608,"RRPH+5VC, RT.3/RW.4",5.0,1.0,1,1,1,1,1,0,0
