city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"East Jakarta city, Indonesia",Warkop Mang Ikin,Jl. Balai Rakyat No.17,,,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Putri Tunggal,Dine-in·Takeaway,5.0,1.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Mang Odon,"Jl. Amal Raya No.32, RT.6/RW.1",4.8,20.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop cipta rasa 234,"Jl. Pahlawan Revolusi No.63, RT.1/RW.9",5.0,10.0,1,1,1,1,1,0,1
"East Jakarta city, Indonesia",Warkop sky (warkop Nungs),"Jl. Masjid Abidin No.8, RT.3/RW.8",5.0,1.0,1,1,0,1,1,1,1
"East Jakarta city, Indonesia",WARKOP RIZQUNA,"Jl. Guru H. Sa'enan No.17 Blok B, RT.4/RW.9",4.8,12.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop SILMA,"No., Jl. Dermaga Raya No.322, RT.7/RW.9",4.4,44.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Unyil,"no. duren sawit, Jl. Pahlawan Revolusi No.42, RT.1/RW.9",4.3,9.0,0,1,1,1,1,0,1
"East Jakarta city, Indonesia",WARKOP OREN PONDOK BAMBU,"Jl. B. Tanah 80 No.5, RW.8",5.0,5.0,1,1,1,0,1,1,1
"East Jakarta city, Indonesia",Warkop Berkah 76,"Jl. Masjid Abidin No.4, RT.4/RW.6",4.5,4.0,1,1,1,1,1,1,0
"East Jakarta city, Indonesia",Warkop Kepo,"Jl. Cipinang Muara 3 No.39 17, RT.17/RW.4",4.6,76.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop DD,"Jl. B. Tanah 80 No.8, RT.8/RW.8",,,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",warkop balerakyat,"Jl. Balai Rakyat No.11, RT.11/RW.9",2.0,3.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",WARKOP UNYIL,"Jl. Pahlawan Revolusi No.26, RT.2/RW.2",,,1,1,1,1,1,1,0
"East Jakarta city, Indonesia",Warkop Atjoy,"Jl. Dermaga Raya No.24 C, RT.3/RW.7",4.5,11.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Seruput 31,"Jl. Cipinang Muara 3, RT.7/RW.4",4.5,21.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Joker,"Jl. Masjid Abidin No.5, RT.5/RW.1",5.0,2.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Acong Captain,"Jl. Kapitan No.37 9, RT.9/RW.4",4.3,12.0,1,1,0,1,0,1,1
"East Jakarta city, Indonesia",Warkop Bang ucup,"Jl. Madrasah Azziyadaah, RT.10/RW.8",5.0,6.0,1,0,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop BONSER 8450,"QWG2+QQ8, RT.6/RW.9",4.0,1.0,1,1,1,1,0,1,1
"East Jakarta city, Indonesia",Warkop Pink,Jl. A Tanah 80 No.20,,,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Warmindo Ernesto,"Jl. Cipinang Muara 3, RT.1/RW.15",5.0,14.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Babah 57,"QWC2+W65, RT.6/RW.1",5.0,1.0,1,1,1,0,1,1,1
"East Jakarta city, Indonesia",Warkop La Familia,"Jl. Pahlawan Revolusi No.4, RW.8",4.5,22.0,1,1,1,1,1,1,0
"East Jakarta city, Indonesia",Warkop Bais,"Jl. Kavling PLN No.2, RT.11/RW.15",5.0,6.0,0,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Jajan,"Jl. Dermaga Raya blok B5, RT.3/RW.11",5.0,2.0,0,1,1,1,1,1,0
"East Jakarta city, Indonesia",Warkop Teduh,"Jl. Cipinang Muara IV GG. Kutilang RT.002/011 Kel, RT.2/RW.11",4.4,36.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Pura-Pura Bahagia,"7, RT.7/RW.4",4.5,2.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Dua Sekawan,"Jl. Cendrawasih No.18, RT.18/RW.3",5.0,1.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Coffe Shop,"Jalan Cipinang Raya Rt 014 Rw 003, Jakarta Selatan, RT.2/RW.3",5.0,1.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Garage 45,"Sdn Duren Sawit 10 Pagi, Jl. Madrasah II No.12, RT.12/RW.10",5.0,12.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Malacca 4,"QWCH+WJ2, Jl. Jend. R.S. Soekanto, RT.4/RW.10",4.4,773.0,1,1,1,1,0,1,1
"East Jakarta city, Indonesia",Warkop Bang Iban,"Jl. Kapuk III No.1 9, RT.6/RW.5",5.0,1.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Bang Ben`s,"Jl. KH.Azanie No.13 6, RT.6/RW.10",4.2,35.0,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop UNS,"Jl. Pangkalan Jati III No.2, Makasar, Kota Jkt Tim., Daerah Khusus Ibukota Jkt 9 5, RT.9/RW.5",4.5,70.0,1,1,1,1,1,1,1
