city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"South Jakarta city, Indonesia",WARKOP 2 SAUDARA,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta","4,5",2.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Been Aouf,"Jl. Kb. Kacang XL No.24, RT.10/RW.4","4,5",68.0,1,1,1,1,1,0,1
"South Jakarta city, Indonesia","Warkop Selamat Sejahtera, Kebon Kacang","Jl. Kebon Kacang 30 No.15, RT.5/RW.4","4,5",2.0,1,0,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop otoy,Jl. Kebon Kacang 30 No.7,"5,0",3.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Barokah masjid jami'e darusalam,"Masjid Darussalam, Jl. Kotabumi Ujung No.Depan 8, RT.8/RW.3","4,5",2.0,1,1,1,0,1,1,0
"South Jakarta city, Indonesia",Warkop Sehati,"Jl. Kb. Kacang 6 No.70 14, RT.14/RW.5","5,0",1.0,1,1,1,1,0,1,0
"South Jakarta city, Indonesia",Warkop Tiku,Thamrin City Lantai 3 No 28 Food court Jln Teluk Betung Boulevard,"4,7",56.0,1,1,0,1,1,1,1
"South Jakarta city, Indonesia",Warkop Winalu,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",,,1,1,1,1,1,1,0
"South Jakarta city, Indonesia",WARKOP AZIJAH,"Jl. Kebon Kacang 42 No.32 15, RT.15/RW.8",,,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop kuningan,"Jl. Kebon Sayur No.20, RT.14/RW.3","5,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop putra kuningan,"Jl. Kb. Kacang 9 No.4, RT.8/RW.8",,,0,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP MOTEKAR,"Jl. Talang Betutu Ujung No.10 15, RT.13/RW.4","4,7",3.0,1,1,1,1,0,1,1
"South Jakarta city, Indonesia",Warkop Khabita 78,"No., Jl. Tj. Duren Raya No.1, RT.3/RW.1","4,7",22.0,0,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Mamah GALANG & BAIM,"Jl. Dukuh Pinggir V No.19 10, RT.10/RW.6","4,3",3.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Bang DuDung,"RR6C+RM3, Jl. Kb. Kacang XI","4,5",8.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP NANDA,"Jl. Kb. Kacang 6 No.13 25a, RT.13/RW.5",,,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP BABEH,Jl. Sungai Gerong No.1-1A,"5,0",1.0,1,1,1,1,1,1,0
"South Jakarta city, Indonesia",Warkop Sugab,"Jl. Kp. Bali X No.26 7, RT.8/RW.9","4,8",19.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Kabengbat,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta","4,0",2.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Sahabat,"The City Tower, Jl. MH Thamrin No.81, RT.1/RW.6",,,1,1,1,1,1,1,0
"South Jakarta city, Indonesia",Warkop AMMAR 1608,"Central Jakarta City, Jakarta, Indonésia","5,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP BETAWI CORNER,"South Jakarta City, Jakarta, Indonésia","5,0",8.0,1,1,1,1,1,1,0
"South Jakarta city, Indonesia",Warkop Pakde BENHIL,"Central Jakarta City, Jakarta, Indonésia","5,0",4.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP KUNTAS,"Central Jakarta City, Jakarta, Indonésia","5,0",1.0,1,0,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop otoy,"Jakarta, Indonésia","5,0",3.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Ilham,"Central Jakarta City, Jakarta, Indonésia","4,6",12.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Resik,Jl. Pedurenan Masjid 2,"4,2",9.0,1,1,0,1,1,0,0
"South Jakarta city, Indonesia",Warkop Juned,"Central Jakarta City, Jakarta, Indonésia",,,1,1,1,0,1,1,1
"South Jakarta city, Indonesia",Warkop JAJA,"Central Jakarta City, Jakarta, Indonésia","4,5",2.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Kramat Lontar,"Central Jakarta City, Jakarta, Indonésia","4,5",49.0,1,1,1,1,0,1,1
"South Jakarta city, Indonesia",Warkop Kang Sidik,Abertos agora,"4,7",77.0,1,1,1,0,1,1,1
"South Jakarta city, Indonesia",WARKOP MINI JOHAR BARU,"Central Jakarta City, Jakarta, Indonésia","4,7",67.0,0,1,0,1,1,1,1
"South Jakarta city, Indonesia",Warkop kuningan,"Central Jakarta City, Jakarta, Indonésia","5,0",1.0,1,0,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Omid,"West Jakarta City, Jakarta, Indonésia","4,1",19.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Ihsan Sabang,"Central Jakarta City, Jakarta, Indonésia","5,0",2.0,1,1,1,1,1,1,0
"South Jakarta city, Indonesia",Warkop Saset,"South Jakarta City, Jakarta, Indonésia","5,0",13.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP aa,"West Jakarta City, Jakarta, Indonésia","5,0",3.0,1,1,1,0,1,0,0
"South Jakarta city, Indonesia",Warkop Nanas Gang T,"East Jakarta City, Jakarta, Indonésia","4,4",47.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Jabrik,"Central Jakarta City, Jakarta, Indonésia","3,7",7.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop X Pancong,"South Jakarta City, Jakarta, Indonésia","4,1",16.0,1,1,1,1,1,0,1
"South Jakarta city, Indonesia",Warkop Pasundan Setiabudi Tengah,"South Jakarta City, Jakarta, Indonésia","4,4",9.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Resik,"South Jakarta City, Jakarta, Indonésia","4,8",39.0,1,1,1,1,1,0,1
"South Jakarta city, Indonesia",Warkop putra kuningan,"Central Jakarta City, Jakarta, Indonésia",,,0,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Resik,"South Jakarta City, Jakarta, Indonésia","4,9",11.0,0,1,1,1,0,1,1
"South Jakarta city, Indonesia",WARKOP BABEH,"Central Jakarta City, Jakarta, Indonésia","5,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Aduhai,"East Jakarta City, Jakarta, Indonésia","4,5",14.0,1,1,1,1,0,1,1
"South Jakarta city, Indonesia",Warkop Monggo Pinarak,"South Jakarta City, Jakarta, Indonésia",,,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop PJS,"West Jakarta City, Jakarta, Indonésia","4,1",8.0,1,1,1,1,1,1,0
"South Jakarta city, Indonesia",Warkop pancong Lontar ( Kebon Melati ),"Central Jakarta City, Jakarta, Indonésia","4,6",10.0,1,1,1,1,1,0,1
"South Jakarta city, Indonesia",Warkop Ilham,"Central Jakarta City, Jakarta, Indonésia","4,9",14.0,1,1,1,1,0,1,0
"South Jakarta city, Indonesia",Warkop durian kahirupan,"West Jakarta City, Jakarta, Indonésia",,,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Babang,"Central Jakarta City, Jakarta, Indonésia","4,9",7.0,1,1,1,1,1,1,1
