city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"West Jakarta city, Indonesia",Warkop DKI 168,"Jl.kayu besar, RT.08/011/RW.no.128",,,0,1,1,1,1,0,1
"West Jakarta city, Indonesia",Warkop bang Ade,"RQJ7+QMC, Jl. Panjang, RT.5/RW.11",,,0,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP MAMA ADIT,"Jl. Kedoya Raya No.58A 10, RT.2/RW.1",4.1,8.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Imam,"Panjang St No.1, RT.1/RW.3",5.0,4.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Arif,"Jl. Panjang Arteri Klp. Dua Raya No.14, RT.14/RW.8",,,1,0,1,1,1,1,1
"West Jakarta city, Indonesia",warkop gaul si emak taman cosmos,Jl. Taman Cosmos No.raya,,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP BETAWI,Dine-in,,,1,1,0,1,1,1,1
"West Jakarta city, Indonesia",Warkop Pengkolan,"Jl. Pengairan Pesing Koneng No.39 10, RT.10/RW.8",5.0,10.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Kang Didi,"9, RT.9/RW.13",5.0,2.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Edo/edi,"Jl. Taman Ratu Raya Blk. BB1 No.19 10, RT.3/RW.13",4.5,11.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop bang otip,"RQP8+WXM, RT.4/RW.1",5.0,31.0,1,1,0,1,1,1,1
"West Jakarta city, Indonesia",WARKOP BETAWI,"4, RT.4/RW.3",4.6,53.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop angkringan Bu rete pingkal,"RQP8+QM5, Jakarta Barat, RT.3/RW.1",5.0,1.0,1,1,1,1,1,0,1
"West Jakarta city, Indonesia",WARKOP BUDE,"Jalan Kepa Duri Raya No 4B Rt 07 Rw 08, Jakarta Barat, RT.10/RW.4",4.2,29.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop betawi bg daus,"Jl. Pesing Garden No.19, RT.4/RW.8",5.0,2.0,1,1,1,1,0,1,1
"West Jakarta city, Indonesia",Warkop BC,"RQQC+8GV, Stasiun Pesing",,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Mpo Yanti,"RQG9+JVJ, Unnamed Road, RT.3/RW.4",4.4,8.0,1,0,0,1,1,1,0
"West Jakarta city, Indonesia",Warkop Cukil,"Jl. Ratu Barat 1 No.10 9, RT.9/RW.13",5.0,3.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Deny,"Jl. Basmol Raya No.158, RT.8/RW.4",4.4,107.0,1,0,1,0,1,1,1
"West Jakarta city, Indonesia",Warkop Bang Salim,"Jl. Kedoya Raya No.64C, RT.14/RW.8",,,1,1,1,1,1,1,0
"West Jakarta city, Indonesia",Warkop Berkah Jaya,"Jl. SMA 57 No.24-48 3, RT.3/RW.2",4.4,8.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Lapak,"Jl. Pengairan Pesing Koneng No.33 10, RT.10/RW.8",,,1,0,1,1,1,0,1
"West Jakarta city, Indonesia",Warkop,"RQM8+VWQ, Jl. Ratu Teratai",,,1,0,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Bu Sri Mulyani,"Jl. Kedoya Raya No.11 A 8, RT.8/RW.7",,,0,1,1,1,0,1,1
"West Jakarta city, Indonesia",Warkop Bete,"Gg. Macan No.3, RT.3/RW.5",5.0,2.0,0,1,1,1,1,1,1
"West Jakarta city, Indonesia",warkop tampomas,"Jl. Asem Raya No.3, RT.8/RW.8",4.6,16.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop GK,"RQP8+C57, Jl. Kedoya Raya Pesing Koneng, RT.1/RW.1",,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Jaya,"RQV6+F3X, RT.13/RW.3",4.5,17.0,1,0,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Maman,"Jl. Indra Loka I No.7, RT.7/RW.6",,,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",warkop emen,"Jl. Kp. Salo No.33 2, RT.2/RW.4",,,1,1,1,1,1,1,0
"West Jakarta city, Indonesia",Warkop delicious pro robusta,"Jl. Tj. Duren Utara 4 No.2c, RT.6/RW.3",5.0,2.0,0,1,1,1,1,1,0
"West Jakarta city, Indonesia",warkop bang said,"RQG8+8JM, Unnamed Road, RT.8/RW.11",5.0,2.0,1,0,0,1,1,0,1
"West Jakarta city, Indonesia",Warkop 1926,"Jl. Panjang No.4, RT.13/RW.5",5.0,2.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Project,"Jl. Kedoya Raya No.27 1, RT.1/RW.3",4.5,32.0,0,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop rindang,"Jl. Jelambar Barat III No.31a, RT.1/RW.5",4.5,14.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP ASGAR,"Jl. Jelambar Utama III No.17 10, RT.10/RW.8",3.0,2.0,0,1,1,1,1,1,1
"West Jakarta city, Indonesia","WARKOP ""RUWET""","RR84+56V, Jalan Gg. IV, RT.8/RW.4",5.0,2.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Bercakap Srengseng,"4, Jl. H. Kelik No.79-74, RT.4/RW.8",4.3,32.0,0,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Mahkota,"Jl. Jelambar Selatan No.28 5, RT.5/RW.9",4.6,70.0,1,1,0,1,1,0,1
