warkop_id,name,address,rating,rating_count,region,facilities
1,WARKOP 2 SAUDARA,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",4.5,2,Pusat,"24hours,wifi,toilet,parking"
2,Warkop Selamat Sejahtera,"Jl. Kebon Kacang 30 No.15, RT.5/RW.4",4.5,2,Pusat,"wifi,toilet"
3,Warkop Been Aouf,"Jl. Kb. Kacang XL No.24, RT.10/RW.4",4.5,68,Pusat,"toilet,parking"
4,Warkop otoy,Jl. Kebon Kacang 30 No.7,5,3,Pusat,"toilet,parking"
5,Warkop Barokah masjid jami'e darusalam,"Masjid Darussalam, Jl. Kotabumi Ujung No.Depan 8, RT.8/RW.3",4.5,2,Pusat,"24hours,parking"
6,Warkop Sehati,"Jl. Kb. Kacang 6 No.70 14, RT.14/RW.5",5,1,Pusat,"toilet,parking,wifi"
7,Warkop Tiku,Thamrin City Lantai 3 No 28 Food court Jln Teluk Betung Boulevard,4.7,56,Pusat,"ac,toilet"
8,Warkop kuningan,"Jl. Kebon Sayur No.20, RT.14/RW.3",5,1,Pusat,"24hours,wifi,toilet,parking,ac"
9,WARKOP MOTEKAR,"Jl. Talang Betutu Ujung No.10 15, RT.13/RW.4",4.7,3,Pusat,"toilet,parking,wifi"
10,Warkop Khabita 78,"No., Jl. Tj. Duren Raya No.1, RT.3/RW.1",4.7,22,Pusat,"24hours,wifi,toilet,parking"
11,Warkop Mamah GALANG & BAIM,"Jl. Dukuh Pinggir V No.19 10, RT.10/RW.6",4.3,3,Pusat,"toilet,parking"
12,Warkop Bang DuDung,"RR6C+RM3, Jl. Kb. Kacang XI",4.5,8,Pusat,"ac,toilet"
13,WARKOP BABEH,Jl. Sungai Gerong No.1-1A,5,1,Pusat,"24hours,wifi,toilet"
14,Warkop Sugab,"Jl. Kp. Bali X No.26 7, RT.8/RW.9",4.8,19,Pusat,"ac,toilet"
15,Warkop Kabengbat,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",4,2,Pusat,"24hours,parking"
16,Warkop AP KT NT AJ,"samping Gedung Jamiat Kheir, Jl. Kb. Kacang 6",5,2,Pusat,"toilet,parking"
17,Warkop pancong Lontar ( Kebon Melati ),"Jl. Lontar Raya No.107b 1, RT.1/RW.12",4.6,10,Pusat,"24hours,parking"
18,Warkop Segitiga,"Jl. K.H. Wahid Hasyim No.54A 7, RT.7/RW.5",3.3,8,Pusat,"toilet,parking,wifi"
19,Warkop Slamet. Bw,"QRX8+R2M, RT.1/RW.17",4.1,7,Pusat,"toilet,parking,wifi"
20,Warkop JAJA,"Jl. Sabeni Raya No.20, RT.20/RW.12",4.5,2,Pusat,"ac,toilet"
21,Warkop Romi gaharu,"Jl. Kembang IV No.111 1, RT.1/RW.2",5,25,Pusat,"wifi,toilet,parking,ac"
22,Warkop UPA,"Jalan Jati Baru 10 RT. 01/RW.04 RT.1, RT.1/RW.4",5,14,Pusat,"toilet,parking"
23,Warkop Akang,"Jl. Kb. Pala II No.10 5, RT.5/RW.13",3.5,4,Pusat,"ac,toilet"
24,Warkop Babang,"Jl. Kp. Bali XIII No.1, RT.2/RW.9",4.9,7,Pusat,"24hours,parking"
25,Warkop Aba Tanah Abang,"Jl. K.H. Mas Mansyur Jl. Kb. Pala I No.286, RT.2/RW.16",5,13,Pusat,"wifi,toilet,parking,ac"
26,WARKOP OREN TENLIS,"Jl. Tenaga Listrik No.1, RT.7/RW.16",5,10,Pusat,"24hours,parking"
27,WARKOP HDHT 24 JAM,"Jl. Kp. Bali XII No.37 4, RT.1/RW.9",5,6,Pusat,"24hours,wifi,toilet,parking"
28,Warkop Ihsan Sabang,"Jl. H. Agus Salim No.35, RT.1/RW.1",5,2,Pusat,"ac,toilet"
29,Warkop Morena99,"Patokan pos burung, Jl. Kb. Pala 3 No.013, RT.1/RW.15",5,5,Pusat,"24hours,wifi,toilet,parking,ac"
30,Warkop Sari,"Jl. Kb. Pala 3 No.36A 3, RT.3/RW.13",4,4,Pusat,"wifi,toilet,parking,ac"
31,Warkop Kang Sidik,"Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",4.7,76,Pusat,"toilet,parking,wifi"
32,Warkop jaja jabun,"Warkop Jaja jabun, Alamat: jl. Jati bunder 7.RT 09 RW 14. kel. Kebon melati, RT.4/RW.14",4,4,Pusat,"ac,toilet"
33,Warkop Mang Ade,"QRV6+8PF, Jl. Karet Pasar Baru Barat II, RT.9/RW.5",4.3,6,Pusat,"toilet,parking"
34,WARKOP KUNTAS,"Jl. Kebon Sirih Timur No.dalam no.5d, RT.14/RW.6",5,1,Pusat,"24hours,parking"
35,Warkop bunda salsa,"Jl. Edi 9 No.11 5, RT.5/RW.6",4.7,3,Pusat,"toilet,parking"
36,Warkop(nasgor)tohir,"Jl. Jati Bunder Dalam No.27 11, RT.11/RW.14",3.4,5,Pusat,"24hours,parking"
37,Warkop Jambu,"No. 12, Jl. Karet Karya 1, RT.4/RW.7",4.8,36,Pusat,"toilet,parking,wifi"
38,Warkop Ilham,"Jl. Menteng No.5, RT.5/RW.7",4.6,12,Pusat,"24hours,wifi,toilet,parking"
39,Warkop Hegar,"Jl. Taman Setia Budi II No.1, RT.1/RW.2",4.5,41,Pusat,"toilet,parking,wifi"
40,Warkop Mamang Adi,"Jl. Petamburan II No.17A, RT.11/RW.3",5,4,Pusat,"wifi,toilet,parking,ac"
41,Warkop gang mess,"Jl. Mess No.RT. 14, RT.13/RW.17",4.4,47,Pusat,"toilet,parking,wifi"
42,WARKOP PAK'DE,"RR99+37W, Jl. Kebon Sirih, RT.2/RW.3",3.2,6,Pusat,"wifi,toilet"
43,WARKOP BHEGHE,"jln.admininstrasi I pejompongan rt. 08 rw. 07 kec, RT.1/RW.7",5,11,Pusat,"24hours,parking"
44,Warkop Arimbi,RT.3/RW.2,5,12,Pusat,"toilet,parking,wifi"
45,Warkop Marindo,"Jalan Bendungan Hillir 3 No.9, RT.11/RW.1",4.4,143,Pusat,"toilet,parking,wifi"
46,Warkop Asgar,"Jl. Halimun Raya No.2 15 6, RT.15/RW.6",4.3,3,Pusat,"24hours,wifi,toilet,parking"
47,Warkop Pasundan Setiabudi Tengah,"Jl. Setiabudi Tengah No.14 Seberang Warung MJS / Le Green Kuningan Setiabudi, RT.1/RW.1",4.4,9,Pusat,"toilet,parking"
48,Warkop Ar Rahman,"Jl. Setia Budi V No.15 5, RT.5/RW.3",5,5,Pusat,"toilet,parking"
49,WARKOP MAMA ADIT,"Jl. Kedoya Raya No.58A 10, RT.2/RW.1",4.1,8,Barat,"toilet,parking"
50,Warkop Imam,"Jl. Panjang No.1, RT.1/RW.3",5,4,Barat,"24hours,wifi,toilet,parking"
51,Warkop Kang Didi,"9, RT.9/RW.13",5,2,Barat,"24hours,parking"
52,Warkop Edo/edi,"Jl. Taman Ratu Raya Blk. BB1 No.19 10, RT.3/RW.13",4.5,11,Barat,"24hours,wifi,toilet,parking,ac"
53,Warkop Pengkolan,"Jl. Pengairan Pesing Koneng No.39 10, RT.10/RW.8",5,10,Barat,"24hours,parking"
54,Warkop angkringan Bu rete pingkal,"RQP8+QM5,Jakarta Barat, RT.3/RW.1",5,1,Barat,"toilet,parking,wifi"
55,Warkop Cukil,"Jl. Ratu Barat 1 No.10 9, RT.9/RW.13",5,3,Barat,"toilet,parking,wifi"
56,Warkop bang otip,"RQP8+WXM, RT.4/RW.1",4.9,30,Barat,"24hours,wifi,toilet,parking"
57,Warkop betawi bg daus,"Jl. Pesing Garden No.19, RT.4/RW.8",5,2,Barat,"24hours,parking"
58,Warkop Mpo Yanti,"RQG9+JVJ, Unnamed Road, RT.3/RW.4",4.4,8,Barat,"toilet,parking"
59,Warkop Jaya,"RQV6+F3X, RT.13/RW.3",4.5,17,Barat,"24hours,parking"
60,Warkop Ali Green Garden,"Jl. Adhi Karya No.30, RT.2/RW.5",4.9,22,Barat,"toilet,parking,wifi"
61,Warkop Sari Indah - Joss Chicken,"Jl. Perjuangan No.12E 3, RT.13/RW.7",4.7,85,Barat,"toilet,parking"
62,Warkop Deni,"Jl. Basmol Raya No.158, RT.8/RW.4",4.4,107,Barat,"wifi,toilet,parking,ac"
63,Warkop Ropang Rai Raka,"Jl. Indraloka Raya No.28, RT.5/RW.6",4.9,10,Barat,"24hours,wifi,toilet,parking,ac"
64,Warkop Project,"Jl. Kedoya Raya No.27 1, RT.1/RW.3",4.5,32,Barat,"toilet,parking,wifi"
65,Warkop Ujung Aspal,"Jl. Surya Permata III No.79 12, RT.14/RW.1",5,11,Barat,"24hours,wifi,toilet,parking,ac"
66,Warkop Ipeh,"Jl. Pesing Garden No.90 1, RT.1/RW.8",5,10,Barat,"ac,toilet"
67,Warkop pesing garden,"Ruko Green Garden, Komp, nomer, Jl. Panjang Arteri Klp. Dua Raya No.16, RT.14/RW.8",4.8,5,Barat,"wifi,toilet"
68,Warkop 1926,"Jl. Panjang No.4, RT.13/RW.5",5,2,Barat,"24hours,wifi,toilet,parking"
69,Warkop BU PONNY,"Jl. Kali Sekretaris No.2, RT.2/RW.5",5,1,Barat,"toilet,parking,wifi"
70,Warkop Rasa Rindu,"Jl. Kali Sekretaris No.20, RT.8/RW.5",5,1,Barat,"24hours,wifi,toilet,parking,ac"
71,Warkop Naik Kelas,"Jl. Komp. Graha Indah Green Ville Blok Bg No.20, RT.11/RW.14",4.6,45,Barat,"24hours,parking"
72,warkop tampomas,"Jl. Asem Raya No.3, RT.8/RW.8",4.6,16,Barat,"toilet,parking,wifi"
73,Warkop Kataji,"Jalan Puri Kembangan Rt 06/03 #97, Kedoya Selatan, Kebon Jeruk, RT.8/RW.3",4.3,61,Barat,"toilet,parking"
74,Warkop BABEH,"Jl. Kp. Salo No.2, RT.2/RW.4",5,1,Barat,"toilet,parking,wifi"
75,Warkop Noni jln karya grogol,"Jl. Karya Barat III No.9c 10, RT.10/RW.3",5,1,Barat,"wifi,toilet,parking,ac"
