city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"North Jakarta city, Indonesia",Warkop Paul,"Jl. Inspeksi Kali Sunter No.15 15, RT.15/RW.4","4,8",10.0,1,1,0,0,1,1,1
"North Jakarta city, Indonesia",Warkop Kuning Manggar,Jl. Manggar No.8a,"5,0",8.0,1,1,1,1,1,1,0
"North Jakarta city, Indonesia",Warkop Pak Musa (Warpol),"Jl. Klp. Puan Raya No.13, RT.13/RW.13","5,0",1.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia",Warkop Askar 07 Salawasna Dina Hate,"Jl. Inspeksi Kp, Jl. Rw. Indah GG. Armada No.10, RT.3/RW.3","5,0",3.0,1,1,0,1,1,1,1
"North Jakarta city, Indonesia",WARKOP GAWL,"8, Gg. H. Syariyah No.34b, RT.8/RW.12","3,7",10.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia","Warkop 99 Kuningan, Kelapa Gading","Jalan Taman Mandiri Indah, Blok M4D, #9, RT.13/RW.18","4,7",55.0,0,1,1,1,1,1,1
"North Jakarta city, Indonesia",Warkop Biru Co.,"Jl. Plumpang Semper No.16A, RT.1/RW.4","4,6",17.0,1,1,1,0,1,1,1
"North Jakarta city, Indonesia",Warkop Bekas Sekolah,Jl. Telaga Raya No.79,"5,0",33.0,1,1,1,0,1,1,1
"North Jakarta city, Indonesia",Warkop warmindo cirebon,"Jl. Pegangsaan Dua no 64, RW.3","4,5",8.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia",Warkop Santri,"VVHC+X9G, Jl. Bahari II, RT.4/RW.3","4,6",57.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia",Warkop Panca,"Central Jakarta City, Jakarta, Indonezia","4,6",65.0,1,1,1,1,1,1,0
"North Jakarta city, Indonesia",Warkop pulo,"RVWM+244, Jl. Pulo Besar 1, RT.005/011/RW.11","4,9",8.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia",Warkop Sola,"Jl. Warakas III Gg. 10 No.25a, 15 4, RT.15/RW.4","4,6",29.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia",Warkop Om Roy,"Jl. H. Sarwono S.H No.27 Kel, RT.009/RW.8","4,7",11.0,1,1,1,1,1,0,1
"North Jakarta city, Indonesia",Warkop Walet,"Jl. Gaya Motor III No.4, RW.8","4,6",84.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia","Warkop,angkringan,cafe","Jl. Plumpang Semper No.40 a 9, RT.9/RW.2","4,5",11.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia",WARKOP MINI JOHAR BARU,"Central Jakarta City, Jakarta, Indonezia","4,7",67.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia",Warkop Azka,"Jl. Dukuh No.35 1, RT.1/RW.8","4,3",3.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia",Warkop Deli 26,"VVQX+VM9, RT.4/RW.2","4,5",14.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia",Lembaga Warkop DKI,"East Jakarta City, Jakarta, Indonezia","5,0",6.0,1,0,1,1,0,1,1
"North Jakarta city, Indonesia",Warkop Mang Wawan,"Central Jakarta City, Jakarta, Indonezia","5,0",3.0,1,1,0,1,1,1,1
"North Jakarta city, Indonesia",WARKOP BERKAH,"Central Jakarta City, Jakarta, Indonezia","4,3",4.0,0,1,1,1,1,1,1
"North Jakarta city, Indonesia",Warkop Oting,"Jl. Warakas V Jl. Warakas Gg. 8 No.124 12, RT.12/RW.10","4,5",67.0,1,1,0,1,1,1,1
"North Jakarta city, Indonesia",Warkop Komarudin,"RVXQ+6Q6, Jalan Raya Boulevard Barat Ruko INKOPAL Blok C Kelapa Gading Barat Jakarta, Utara, RT.2/RW.9","5,0",2.0,1,0,1,1,1,1,1
"North Jakarta city, Indonesia",Warkop Centeria,"Jl. Mindi No.35 3, RT.3/RW.7","4,8",35.0,1,0,1,1,1,1,1
"North Jakarta city, Indonesia",WADUH - Warkop Seduh,"5, Jl. Komp. Yuka No.8, RT.4/RW.8","5,0",3.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia",Ndeso'o Warkop,"Central Jakarta City, Jakarta, Indonezia","5,0",13.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia",Warkop Doyok,"Jl. H. Oyar No.33 2, RT.4/RW.4","4,5",135.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia",WARKOP HARAPAN BUNDA,"Jl. Swadaya No.20 1, RT.12/RW.5","5,0",1.0,1,1,1,1,1,0,1
"North Jakarta city, Indonesia",warkop kun gar,"Jl. Inspeksi Kali Sunter No.13 9, RT.9/RW.4","5,0",2.0,1,1,0,0,1,1,1
"North Jakarta city, Indonesia",Warkop Bu Boss,Jl. Walang Permai No.17 A,"4,9",17.0,1,1,1,1,1,1,1
"North Jakarta city, Indonesia",Warkop ngalor ngidul,"Jakarta, Indonezia","5,0",1.0,1,1,1,1,1,1,1
