city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"South Jakarta city, Indonesia",Warung Kopi Pandawa,"South Jakarta City, Jakarta, Индонезия","4,5",121.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP 2 SAUDARA,Еда в заведении·Еда навынос,"4,5",2.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Romi gaharu,"Central Jakarta City, Jakarta, Индонезия","5,0",25.0,0,1,1,1,1,1,1
"South Jakarta city, Indonesia","Warkop Barokah - Roti Bakar, Internet","South Jakarta City, Jakarta, Индонезия","4,6",98.0,1,0,1,1,1,1,0
"South Jakarta city, Indonesia",Warkop Barokah masjid jami'e darusalam,"Central Jakarta City, Jakarta, Индонезия","4,5",2.0,1,1,1,1,1,0,1
"South Jakarta city, Indonesia",Warkop Sehati,"Central Jakarta City, Jakarta, Индонезия","5,0",1.0,1,1,1,1,0,1,1
"South Jakarta city, Indonesia",Warkop Been Aouf,"Central Jakarta City, Jakarta, Индонезия","4,5",68.0,0,0,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Heroy,"Central Jakarta City, Jakarta, Индонезия","4,5",552.0,0,0,1,0,1,1,1
"South Jakarta city, Indonesia",WARKOP MOTEKAR,"Central Jakarta City, Jakarta, Индонезия","4,7",3.0,1,1,1,0,1,1,1
"South Jakarta city, Indonesia",WARKOP SINAR GALUH,"South Jakarta City, Jakarta, Индонезия","4,6",23.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Restu Ilahi 9,"South Jakarta City, Jakarta, Индонезия","4,8",36.0,0,1,1,1,1,1,1
"South Jakarta city, Indonesia","WARKOP ""RUWET""","West Jakarta City, Jakarta, Индонезия","5,0",2.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Marindo,"Central Jakarta City, Jakarta, Индонезия","4,4",144.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Kramat Lontar,"Central Jakarta City, Jakarta, Индонезия","4,5",49.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Bang Doel,"West Jakarta City, Jakarta, Индонезия","5,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop DPR RGF,"South Jakarta City, Jakarta, Индонезия","4,9",85.0,1,1,0,1,1,1,1
"South Jakarta city, Indonesia",Warkop Mang Ade,"Central Jakarta City, Jakarta, Индонезия","4,3",6.0,1,1,1,1,1,0,1
"South Jakarta city, Indonesia",Warkop Sugab,"Central Jakarta City, Jakarta, Индонезия","4,8",19.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop AA,"South Jakarta City, Jakarta, Индонезия","4,6",160.0,1,1,1,0,1,1,1
"South Jakarta city, Indonesia",Warkop Kabengbat,Еда в заведении·Еда навынос,"4,0",2.0,1,1,1,1,1,1,0
"South Jakarta city, Indonesia","Warkop Selamat Sejahtera, Kebon Kacang","Jakarta, Индонезия","4,5",2.0,0,1,1,0,1,1,1
"South Jakarta city, Indonesia",Warkop Indomie,"Central Jakarta City, Jakarta, Индонезия","4,4",37.0,1,1,1,1,1,0,1
"South Jakarta city, Indonesia",Warkop Aduhai,"East Jakarta City, Jakarta, Индонезия","4,5",14.0,1,1,0,1,1,1,0
"South Jakarta city, Indonesia",Warkop Khabita 78,"Central Jakarta City, Jakarta, Индонезия","4,7",22.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Jabrik,"Central Jakarta City, Jakarta, Индонезия","3,7",7.0,1,1,1,1,1,0,1
"South Jakarta city, Indonesia",Warkop Tiku,"Central Jakarta City, Jakarta, Индонезия","4,7",56.0,1,1,1,1,0,1,1
"South Jakarta city, Indonesia",WARKOP BETAWI CORNER,"South Jakarta City, Jakarta, Индонезия","5,0",8.0,1,1,1,0,0,1,1
"South Jakarta city, Indonesia",Warkop X Pancong,"South Jakarta City, Jakarta, Индонезия","4,1",16.0,0,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Cikal,"East Jakarta City, Jakarta, Индонезия","4,5",11.0,1,1,1,1,1,1,0
"South Jakarta city, Indonesia",Warkop Pakde BENHIL,"Central Jakarta City, Jakarta, Индонезия","5,0",4.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop baraya 5/A's Putra,"West Jakarta City, Jakarta, Индонезия","5,0",5.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Resik,Индонезия,"4,2",9.0,1,1,1,0,1,1,0
"South Jakarta city, Indonesia",Warkop AMMAR 1608,"Central Jakarta City, Jakarta, Индонезия","5,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Ibrahim,"West Jakarta City, Jakarta, Индонезия","4,2",24.0,0,1,0,1,1,0,1
"South Jakarta city, Indonesia",Warkop Katineung,"jakarta, Jakarta, Индонезия","4,6",32.0,1,1,1,0,1,1,1
"South Jakarta city, Indonesia",WARKOP KUNTAS,"Central Jakarta City, Jakarta, Индонезия","5,0",1.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Resik,"South Jakarta City, Jakarta, Индонезия","4,9",11.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Resik,"South Jakarta City, Jakarta, Индонезия","4,8",39.0,1,0,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Kabengbat,"Central Jakarta City, Jakarta, Индонезия","4,5",4.0,1,1,1,1,0,1,1
"South Jakarta city, Indonesia",Warkop otoy,"Jakarta, Индонезия","5,0",3.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop,Еда в заведении·Еда навынос,"4,0",1.0,1,0,1,1,1,1,1
"South Jakarta city, Indonesia",WARKOP WARKOPAN,"East Jakarta City, Jakarta, Индонезия","4,9",11.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop Kng,"Central Jakarta City, Jakarta, Индонезия","4,5",8.0,1,1,1,1,1,1,1
"South Jakarta city, Indonesia",Warkop 69,"North Jakarta City, Jakarta, Индонезия","5,0",5.0,1,1,1,1,1,1,0
"South Jakarta city, Indonesia",Warkop Ilham,"Central Jakarta City, Jakarta, Индонезия","4,6",12.0,1,1,1,0,0,1,1
