city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"West Jakarta city, Indonesia",WARKOP MAMA ADIT,"Jl. Kedoya Raya No.58A 10, RT.2/RW.1",4.1,8.0,1,1,1,0,1,1,1
"West Jakarta city, Indonesia",Warkop Pengkolan,"Jl. Pengairan Pesing Koneng No.39 10, RT.10/RW.8",5.0,10.0,1,0,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Imam,"Panjang St No.1, RT.1/RW.3",5.0,4.0,1,0,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Kang Didi,"9, RT.9/RW.13",5.0,2.0,0,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Edo/edi,"Jl. Taman Ratu Raya Blk. BB1 No.19 10, RT.3/RW.13",4.5,11.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",WARKOP BETAWI,"4, RT.4/RW.3",4.6,53.0,1,1,0,1,1,1,1
"West Jakarta city, Indonesia",WARKOP BUDE,"Jalan Kepa Duri Raya No 4B Rt 07 Rw 08, Jakarta Barat, RT.10/RW.4",4.2,29.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop angkringan Bu rete pingkal,"RQP8+QM5, Jakarta Barat, RT.3/RW.1",5.0,1.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop bang otip,"RQP8+WXM, RT.4/RW.1",5.0,31.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Deny,"Jl. Basmol Raya No.158, RT.8/RW.4",4.4,107.0,1,1,1,1,1,1,0
"West Jakarta city, Indonesia",Warkop Cukil,"Jl. Ratu Barat 1 No.10 9, RT.9/RW.13",5.0,3.0,1,0,0,1,1,1,1
"West Jakarta city, Indonesia",Warkop BU PONNY,"Jl. Kali Sekretaris No.2, RT.2/RW.5",5.0,1.0,1,1,1,1,1,0,1
"West Jakarta city, Indonesia",Warkop Bete,"Gg. Macan No.3, RT.3/RW.5",5.0,2.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Mpo Yanti,"RQG9+JVJ, Unnamed Road, RT.3/RW.4",4.4,8.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop betawi bg daus,"Jl. Pesing Garden No.19, RT.4/RW.8",5.0,2.0,1,1,0,1,1,1,1
"West Jakarta city, Indonesia",Warkop Pasundan02 Jelambar,"Jl. Hadiah 1 No.5, RT.11/RW.3",4.5,260.0,1,1,1,1,1,1,0
"West Jakarta city, Indonesia",Warkop endang rgj,Panjang St,5.0,5.0,1,1,1,1,1,1,1
"West Jakarta city, Indonesia",Warkop Berkah Jaya,"Jl. SMA 57 No.24-48 3, RT.3/RW.2",4.4,8.0,1,1,1,1,1,1,1
