city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"Central Jakarta city, Indonesia",Warkop Romi gaharu,"Jl. Kembang IV No.111 1, RT.1/RW.2",5.0,25.0,0,1,1,1,0,1,1
"Central Jakarta city, Indonesia",WARKOP KUNTAS,"Jl. Kebon Sirih Timur No.dalam no.5d, RT.14/RW.6",5.0,1.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Ilham,"Jl. Menteng No.5, RT.5/RW.7",4.6,12.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Pejambon,"# Gambir, Jl. Pejambon I Blok G No.2, RT.1/RW.1",4.5,28.0,1,1,1,1,1,0,1
"Central Jakarta city, Indonesia",Warkop Segitiga,"Jl. K.H. Wahid Hasyim No.54A 7, RT.7/RW.5",3.3,8.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Indomie,"Jl. Kebon Jahe Kober 5 No.20 8, RT.8/RW.8",4.4,37.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Sugab,"Jl. Kp. Bali X No.26 7, RT.8/RW.9",4.8,19.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Ihsan Sabang,"Jl. H. Agus Salim No.35, RT.1/RW.1",5.0,2.0,0,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Kang Hery,"Jl. Kramat Kwitang, RT.1/RW.4",5.0,2.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Khabita 78,"No., Jl. Tj. Duren Raya No.1, RT.3/RW.1",4.7,22.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",warkop pangestu,"Jl. Gg. Tembok No.12 3, RT.3/RW.10",3.5,2.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Ilham,Dine-in·Takeout,4.0,2.0,1,1,1,1,1,0,1
"Central Jakarta city, Indonesia",Warkop AA,Dine-in·Takeout,5.0,5.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Ropita,"Jl. Kramat I No.5 5, RT.5/RW.7",4.7,3.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Sehati,"Jl. Kb. Kacang 6 No.70 14, RT.14/RW.5",5.0,1.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Been Aouf,"Jl. Kb. Kacang XL No.24, RT.10/RW.4",4.5,68.0,1,0,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Kramat Lontar,"Jl. Kramat Lontar No.1, RT.2/RW.7",4.5,49.0,1,1,1,1,0,1,1
"Central Jakarta city, Indonesia",Warkop Kembang,"RR8Q+P7V, Jalan Kramat Kwitang 2, RT.3/RW.1",4.1,10.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia","Warkop Selamat Sejahtera, Kebon Kacang","Jl. Kebon Kacang 30 No.15, RT.5/RW.4",4.5,2.0,1,0,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Sinar Garut,"Jl. Tanah Abang 5 No.54F, RT.2/RW.2",5.0,2.0,1,0,0,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Pancong Lumer,"Jl. Srikaya II No.5, RT.5/RW.9",3.7,31.0,1,1,1,0,1,1,1
"Central Jakarta city, Indonesia",Warkop Bekas Sekolah,Jl. Telaga Raya No.79,5.0,33.0,0,1,1,1,1,1,1
"Central Jakarta city, Indonesia",WARPIINDO KRAMAT 5 (Warkop Kopi),Jl. Kramat 5 No.13,5.0,14.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Wali Songo,"Jl. Kramat Kwitang No.13, RT.1/RW.7",5.0,6.0,1,1,0,1,0,1,0
"Central Jakarta city, Indonesia",Warkop Warteg BABE 24 Always On,"Jl. Pintu Air Raya No.57A, RT.6/RW.1",5.0,2.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Nanas Gang T,"East Jakarta City, Jakarta, Indonesia",4.4,47.0,0,1,0,0,0,0,1
"Central Jakarta city, Indonesia",WARKOP MOTEKAR,"Jl. Kramat IV, RT.2/RW.8",4.1,21.0,1,0,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop pancong Lontar ( Kebon Melati ),"Jl. Lontar Raya No.107b 1, RT.1/RW.12",4.6,10.0,1,1,1,1,1,1,0
"Central Jakarta city, Indonesia",WARKOP aa,"West Jakarta City, Jakarta, Indonesia",5.0,3.0,1,0,1,1,1,1,1
"Central Jakarta city, Indonesia",WARKOP MASA KINI,"RR86+9VQ, Jl. Jati Baru I, RT.1/RW.3",5.0,2.0,1,1,1,1,1,1,0
"Central Jakarta city, Indonesia",Warkop Katineung,"warkop katineung, Jalan Kramat Lontar No. j150 RT.7/RW.1 jl.kramat lontar.J150",4.6,32.0,1,1,1,0,1,0,1
"Central Jakarta city, Indonesia",Warkop Ilham,"8, Jl. Murtado 13 No.148-261, RT.8/RW.6",4.9,14.0,1,1,1,0,1,1,1
"Central Jakarta city, Indonesia",Warkop Arimbi,"West Jakarta City, Jakarta, Indonesia",5.0,12.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Pancong Wakwaw,"Jl Ps Kawi Kawi Sentiong No.2, RT.14/RW.6",4.0,10.0,1,1,1,1,1,1,0
"Central Jakarta city, Indonesia",Warkop Lestari,"17, Jl. Citarum No.1, RT.17/RW.1",5.0,1.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Djaja Abadi,"South Jakarta City, Jakarta, Indonesia",4.6,100.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",WARKOP TERMUDA,"Jl. Menteng Kecil Jl. Pejambon I Gg. II No.12, RT.6/RW.9",5.0,1.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",WARKOP BAROKAH,RRJQ+F84,5.0,1.0,1,1,1,1,1,1,1
"Central Jakarta city, Indonesia",Warkop Babang,"Jl. Kp. Bali XIII No.1, RT.2/RW.9",4.9,7.0,1,1,1,1,1,1,1
