city,name,address,rating,rating_count,new_column_1,new_column_2,new_column_3,new_column_4,new_column_5,new_column_6,new_column_7
"East Jakarta city, Indonesia",Warkop Putri Tunggal,Servicii luat masa·La pachet,"5,0",1,1,0,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop UNS,"Jl. Pangkalan Jati III No.2, Makasar, Kota Jkt Tim., Daerah Khusus Ibukota Jkt 9 5, RT.9/RW.5","4,5",70,1,1,1,0,1,1,1
"East Jakarta city, Indonesia",Warkop sky (warkop Nungs),"Jl. Masjid Abidin No.8, RT.3/RW.8","5,0",1,1,1,1,1,1,0,1
"East Jakarta city, Indonesia","Warkop Barokah - Roti Bakar, Internet","South Jakarta City, Jakarta, Indonezia","4,6",98,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",WARKOP RIZQUNA,"Jl. Guru H. Sa'enan No.17 Blok B, RT.4/RW.9","4,8",12,1,1,1,1,1,0,1
"East Jakarta city, Indonesia",Warkop Malacca 4,"QWCH+WJ2, Jl. Jend. R.S. Soekanto, RT.4/RW.10","4,4",773,1,1,1,1,1,1,0
"East Jakarta city, Indonesia",Warkop PaLSu,"Bekasi, West Java, Indonezia","4,6",87,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Garage 45,"Sdn Duren Sawit 10 Pagi, Jl. Madrasah II No.12, RT.12/RW.10","5,0",12,1,1,1,1,0,1,1
"East Jakarta city, Indonesia",Warkop SILMA,"No., Jl. Dermaga Raya No.322, RT.7/RW.9","4,4",44,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",WARKOP OREN PONDOK BAMBU,"Jl. B. Tanah 80 No.5, RW.8","5,0",5,1,1,1,1,1,1,0
"East Jakarta city, Indonesia",Warkop Dua Sekawan,"Jl. Cendrawasih No.18, RT.18/RW.3","5,0",1,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop cipta rasa 234,"Jl. Pahlawan Revolusi No.63, RT.1/RW.9","5,0",10,1,1,0,1,1,1,1
"East Jakarta city, Indonesia",Warkop Atjoy,"Jl. Dermaga Raya No.24 C, RT.3/RW.7","4,5",11,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Warmindo Ernesto,"Jl. Cipinang Muara 3, RT.1/RW.15","5,0",14,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Aduhai,"Jl. Pandan No.28 1, RT.7/RW.9","4,5",14,0,1,1,1,1,0,1
"East Jakarta city, Indonesia",Warkop AA,"South Jakarta City, Jakarta, Indonezia","4,6",160,1,1,0,1,1,1,1
"East Jakarta city, Indonesia",Warkop Jajan,"Jl. Dermaga Raya blok B5, RT.3/RW.11","5,0",2,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Kepo,"Jl. Cipinang Muara 3 No.39 17, RT.17/RW.4","4,6",76,1,1,1,1,0,1,1
"East Jakarta city, Indonesia",Warkop Elon Caslan,"Gg. Ahmad No.30, RT.15/RW.3","4,6",41,1,1,1,0,1,1,1
"East Jakarta city, Indonesia",Warkop BONSER 8450,"QWG2+QQ8, RT.6/RW.9","4,0",1,1,1,0,1,1,1,1
"East Jakarta city, Indonesia",Warkop Coffe Shop,"Jalan Cipinang Raya Rt 014 Rw 003, Jakarta Selatan, RT.2/RW.3","5,0",1,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop hitam putih cipinang muara 2,"Jl. Cipinang Muara 2, RT.1/RW.15","4,7",9,1,1,0,1,1,1,1
"East Jakarta city, Indonesia",warkop 6 saudara,"Jl. Delima Raya No.1, RW.1","4,8",17,0,0,1,0,1,1,1
"East Jakarta city, Indonesia",Warkop Nanas Gang T,"Jl. Nanas No.3-5 11, RT.11/RW.10","4,4",47,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",warkop balerakyat,"Jl. Balai Rakyat No.11, RT.11/RW.9","2,0",3,1,0,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Tenda Biru Pak Kumis,"Jl. Marzuki VII No.24-25 4, RT.4/RW.14","4,5",43,1,1,1,1,1,0,1
"East Jakarta city, Indonesia",Warkop Bang Iban,"Jl. Kapuk III No.1 9, RT.6/RW.5","5,0",1,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Pua’Kale’,"South Jakarta City, Jakarta, Indonezia","4,6",586,0,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Pesona,"Jl. Marzuki 2 No.8 3, RT.3/RW.12","4,5",93,1,0,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Kuningan Billymoon,"6, Jl. Janur No.10 No.10, RT.3/RW.10","4,7",37,0,0,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Mami Mardomu,"Jakarta, Indonezia","5,0",31,1,0,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Barokah Al-Muqqarabin,"Bekasi, West Java, Indonezia","4,9",12,0,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Bang ucup,"Jl. Madrasah Azziyadaah, RT.10/RW.8","5,0",6,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Lorong & Tembakau,Jl. Kebon Sereh Barat Jl. Pisangan Baru Timur I No.9,"4,9",16,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",WARKOP BENTAS III,"Jl. Elang Malindo Blok A5 No.14, RT.1/RW.8","4,5",21,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Kabita,"Jl. Bunga Rampai Raya No.41 1, RT.1/RW.9","4,5",51,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop dan Jamu BROGUA,"9, Jl. Cipinang Jaya IIE No.184-18, RT.10/RW.8","5,0",2,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Barokah,"Jl. Mutumanikam No.3, RT.11/RW.11","4,4",72,1,1,1,1,1,1,0
"East Jakarta city, Indonesia",Warkop Bejo,"Jl. H. Mugeni 1 No.11 13, RT.6/RW.4","4,1",35,1,1,1,1,0,1,1
"East Jakarta city, Indonesia",Warkop Cikal,"Jl. Pemuda III A No.14A 11, RT.11","4,5",11,1,1,1,1,0,1,1
"East Jakarta city, Indonesia",Warkop Putra Kembar,"Jalan Raya Bekasi km17 No.26, RT.3/RW.3","5,0",3,1,1,0,1,1,1,1
"East Jakarta city, Indonesia",Warkop Bang Dut,"QWC8+6RW, RT.9/RW.1","5,0",1,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Mandra,"Jl. Pertanian Sel. No.23, RT.11/RW.4","4,3",7,1,1,1,1,1,1,1
"East Jakarta city, Indonesia",Warkop Ono Roso,"Jalan kampung jembatan, RT.9/RW.6","3,7",7,1,0,0,1,1,1,1
"East Jakarta city, Indonesia",Warkop AA Fauzan,Jl. Cipinang Baru Raya,"5,0",1,0,0,1,1,1,0,1
